ID	Functional_category
YEL011W	CYTOPLASM
YEL012W	CYTOPLASM
YEL013W	VACUOLAR...
YEL014C	CYTOPLASM
YEL015W	PUNCTATE...
YEL017C_A	CELL PER...
YEL017W	NUCLEAR ...
YEL018W	NUCLEUS
YEL019C	NUCLEUS
YEL020C	CYTOPLASM
YEL022W	PUNCTATE...
YEL024W	MITOCHON...
YEL027W	ER
YEL029C	CYTOPLASM
YEL031W	ER
YEL036C	PUNCTATE...
YEL039C	CYTOPLASM
YEL040W	ER
YEL042W	Not visu...
YEL043W	ER
YEL044W	NUCLEUS
YEL046C	CYTOPLASM
YEL047C	CYTOPLASM
YEL048C	PUNCTATE...
YEL050C	NUCLEUS
YEL052W	MITOCHON...
YEL053C	CYTOPLASM
YEL054C	CYTOPLASM
YEL055C	NUCLEUS
YEL058W	CYTOPLASM
YEL059C_A	Not visu...
YEL060C	CYTOPLASM
YEL061C	CYTOPLASM
YEL062W	CYTOPLASM
YEL066W	CYTOPLASM
YEL071W	CYTOPLASM
YER001W	PUNCTATE...
YER003C	NUCLEOLUS
YER005W	Not visu...
YER006W	NUCLEUS
YER007C_A	CYTOPLASM
YER008C	BUD NECK
YER011W	ER
YER013W	NUCLEUS
YER016W	MICROTUBULE
YER017C	MITOCHON...
YER018C	SPINDLE ...
YER019C_A	ER
YER020W	CELL PER...
YER021W	NUCLEUS
YER022W	NUCLEUS
YER023W	CYTOPLASM
YER024W	CYTOPLASM
YER025W	CYTOPLASM
YER027C	CYTOPLASM
YER029C	NUCLEUS
YER030W	NUCLEUS
YER031C	CYTOPLASM
YER032W	CYTOPLASM
YER033C	CYTOPLASM
YER034W	CYTOPLASM
YER035W	NUCLEUS
YER037W	CYTOPLASM
YER038C	CYTOPLASM
YER040W	CYTOPLASM
YER042W	CYTOPLASM
YER043C	CYTOPLASM
YER044C	ER
YER047C	CYTOPLASM
YER048W_A	MITOCHON...
YER049W	NUCLEUS
YER052C	CYTOPLASM
YER053C	MITOCHON...
YER053C_A	ER
YER054C	CYTOPLASM
YER056C	VACUOLE
YER056C_A	CYTOPLASM
YER059W	CYTOPLASM
YER061C	MITOCHON...
YER062C	CYTOPLASM
YER063W	NUCLEUS
YER067W	CYTOPLASM
YER068W	CYTOPLASM
YER069W	MITOCHON...
YER070W	Not Visu...
YER071C	PUNCTATE...
YER072W	ER
YER073W	MITOCHON...
YER074W	CYTOPLASM
YER075C	CYTOPLASM
YER077C	MITOCHON...
YER078C	MITOCHON...
YER079W	CYTOPLASM
YER081W	CYTOPLASM
YER086W	MITOCHON...
YER088C	NUCLEUS
YER090W	CYTOPLASM
YER091C	CYTOPLASM
YER092W	NUCLEUS
YER095W	CYTOPLASM
YER098W	CYTOPLASM
YER099C	CYTOPLASM
YER100W	ER
YER101C	CYTOPLASM
YER102W	CYTOPLASM
YER103W	CYTOPLASM
YER104W	CYTOPLASM
YER105C	NUCLEAR ...
YER107C	NUCLEAR ...
YER110C	CYTOPLASM
YER111C	NUCLEUS
YER112W	CYTOPLASM
YER113C	PUNCTATE...
YER114C	PUNCTATE...
YER116C	NUCLEUS
YER118C	BUD NECK
YER120W	ER
YER122C	MITOCHON...
YER123W	VACUOLAR...
YER124C	BUD NECK
YER128W	CYTOPLASM
YER129W	CYTOPLASM
YER131W	CYTOPLASM
YER132C	CYTOPLASM
YER133W	CYTOPLASM
YER134C	CYTOPLASM
YER136W	CYTOPLASM
YER139C	CYTOPLASM
YER141W	MITOCHON...
YER142C	CYTOPLASM
YER143W	CYTOPLASM
YER147C	NUCLEUS
YER149C	BUD NECK
YER151C	CYTOPLASM
YER152C	CYTOPLASM
YER153C	MITOCHON...
YER154W	MITOCHON...
YER155C	CYTOPLASM
YER156C	NUCLEUS
YER157W	PUNCTATE...
YER159C	NUCLEUS
YER161C	NUCLEUS
YER162C	CYTOPLASM
YER164W	NUCLEUS
YER165W	CYTOPLASM
YER166W	PUNCTATE...
YER168C	CYTOPLASM
YER169W	NUCLEUS
YER170W	MITOCHON...
YER171W	NUCLEUS
YER172C	NUCLEUS
YER173W	NUCLEUS
YER174C	CYTOPLASM
YER175C	CYTOPLASM
YER176W	CYTOPLASM
YER177W	CYTOPLASM
YER178W	MITOCHON...
YER182W	MITOCHON...
YER183C	CYTOPLASM
YFL001W	NUCLEUS
YFL002C	NUCLEUS
YFL004W	ER
YFL006W	CYTOPLASM
YFL008W	CYTOPLASM
YFL010C	CYTOPLASM
YFL013C	CYTOPLASM
YFL014W	CYTOPLASM
YFL016C	MITOCHON...
YFL017C	CYTOPLASM
YFL017W_A	NUCLEUS
YFL018C	MITOCHON...
YFL021W	MITOCHON...
YFL023W	CYTOPLASM
YFL024C	NUCLEUS
YFL025C	ER
YFL026W	CELL PER...
YFL027C	MITOCHON...
YFL031W	CYTOPLASM
YFL034C_B	CELL PER...
YFL034W	PUNCTATE...
YFL036W	CYTOPLASM
YFL041W	VACUOLAR...
YFL044C	NUCLEUS
YFL045C	CYTOPLASM
YFL046W	MITOCHON...
YFL047W	PUNCTATE...
YFL048C	VACUOLAR...
YFL049W	MITOCHON...
YFR001W	NUCLEUS
YFR002W	NUCLEAR ...
YFR004W	NUCLEUS
YFR005C	Not Visu...
YFR006W	CYTOPLASM
YFR009W	CYTOPLASM
YFR010W	NUCLEUS
YFR013W	NUCLEUS
YFR014C	CYTOPLASM
YFR015C	PUNCTATE...
YFR016C	CYTOPLASM
YFR017C	CYTOPLASM
YFR019W	CYTOPLASM
YFR024C	PUNCTATE...
YFR024C_A	BUD TIP
YFR025C	CYTOPLASM
YFR027W	CYTOPLASM
YFR030W	CYTOPLASM
YFR031C	NUCLEUS
YFR031C_A	CYTOPLASM
YFR032C_A	CYTOPLASM
YFR033C	CYTOPLASM
YFR034C	CYTOPLASM
YFR036W	NUCLEOLUS
YFR037C	NUCLEUS
YFR039C	CYTOPLASM
YFR040W	CYTOPLASM
YFR041C	ER
YFR044C	MITOCHON...
YFR047C	CYTOPLASM
YFR048W	CYTOPLASM
YFR049W	MITOCHON...
YFR050C	NUCLEUS
YFR051C	PUNCTATE...
YFR052W	NUCLEUS
YFR053C	CYTOPLASM
YGL001C	ER
YGL005C	PUNCTATE...
YGL006W	VACUOLAR...
YGL008C	CELL PER...
YGL009C	CYTOPLASM
YGL010W	ER
YGL011C	CYTOPLASM
YGL012W	ER
YGL013C	NUCLEUS
YGL014W	CYTOPLASM
YGL016W	NUCLEAR ...
YGL017W	CYTOPLASM
YGL018C	MITOCHON...
YGL019W	NUCLEUS
YGL020C	ER
YGL022W	ER
YGL025C	NUCLEUS
YGL026C	CYTOPLASM
YGL028C	CYTOPLASM
YGL029W	NUCLEUS
YGL031C	CYTOPLASM
YGL035C	NUCLEUS
YGL037C	CYTOPLASM
YGL038C	PUNCTATE...
YGL039W	CYTOPLASM
YGL040C	CYTOPLASM
YGL043W	NUCLEUS
YGL046W	CYTOPLASM
YGL047W	ER
YGL048C	NUCLEUS
YGL049C	CYTOPLASM
YGL054C	ER
YGL055W	ER
YGL056C	CYTOPLASM
YGL058W	NUCLEUS
YGL059W	CYTOPLASM
YGL060W	CYTOPLASM
YGL061C	MICROTUBULE
YGL062W	CYTOPLASM
YGL064C	MITOCHON...
YGL065C	ER
YGL066W	NUCLEUS
YGL067W	CYTOPLASM
YGL068W	MITOCHON...
YGL070C	NUCLEUS
YGL071W	NUCLEUS
YGL073W	NUCLEUS
YGL075C	SPINDLE ...
YGL077C	BUD TIP
YGL078C	NUCLEOLUS
YGL079W	PUNCTATE...
YGL080W	MITOCHON...
YGL082W	CYTOPLASM
YGL083W	PUNCTATE...
YGL084C	ER
YGL085W	MITOCHON...
YGL086W	NUCLEAR ...
YGL087C	CYTOPLASM
YGL090W	CYTOPLASM
YGL091C	CYTOPLASM
YGL092W	NUCLEAR ...
YGL093W	SPINDLE ...
YGL094C	CYTOPLASM
YGL095C	PUNCTATE...
YGL097W	NUCLEUS
YGL098W	ER
YGL099W	CYTOPLASM
YGL101W	CYTOPLASM
YGL105W	CYTOPLASM
YGL107C	MITOCHON...
YGL108C	CELLULAR...
YGL110C	CYTOPLASM
YGL111W	NUCLEUS
YGL112C	NUCLEUS
YGL113W	NUCLEUS
YGL115W	CYTOPLASM
YGL119W	MITOCHON...
YGL120C	CYTOPLASM
YGL122C	NUCLEUS
YGL124C	PUNCTATE...
YGL125W	CYTOPLASM
YGL127C	NUCLEUS
YGL128C	CYTOPLASM
YGL129C	MITOCHON...
YGL130W	NUCLEUS
YGL131C	not visu...
YGL135W	CYTOPLASM
YGL137W	PUNCTATE...
YGL139W	PUNCTATE...
YGL143C	MITOCHON...
YGL145W	ER
YGL148W	CYTOPLASM
YGL150C	CYTOPLASM
YGL151W	NUCLEUS
YGL153W	PUNCTATE...
YGL155W	CYTOPLASM
YGL156W	PUNCTATE...
YGL157W	CYTOPLASM
YGL161C	PUNCTATE...
YGL162W	NUCLEUS
YGL163C	not visu...
YGL164C	CYTOPLASM
YGL167C	ER
YGL169W	CYTOPLASM
YGL172W	NUCLEAR ...
YGL173C	CYTOPLASM
YGL174W	NUCLEUS
YGL175C	CYTOPLASM
YGL180W	CYTOPLASM
YGL181W	PUNCTATE...
YGL184C	CYTOPLASM
YGL185C	CYTOPLASM
YGL187C	MITOCHON...
YGL189C	CYTOPLASM
YGL190C	CYTOPLASM
YGL194C	NUCLEUS
YGL195W	CYTOPLASM
YGL197W	CYTOPLASM
YGL201C	NUCLEUS
YGL202W	CYTOPLASM
YGL203C	PUNCTATE...
YGL207W	NUCLEUS
YGL209W	NUCLEUS
YGL210W	CYTOPLASM
YGL211W	MITOCHON...
YGL212W	VACUOLAR...
YGL213C	CYTOPLASM
YGL216W	CYTOPLASM
YGL219C	PUNCTATE...
YGL220W	CYTOPLASM
YGL221C	MITOCHON...
YGL222C	CYTOPLASM
YGL225W	PUNCTATE...
YGL226C_A	ER
YGL226W	MITOCHON...
YGL227W	CYTOPLASM
YGL229C	CYTOPLASM
YGL231C	ER
YGL232W	NUCLEUS
YGL234W	CYTOPLASM
YGL237C	NUCLEUS
YGL238W	NUCLEUS
YGL240W	CYTOPLASM
YGL241W	CYTOPLASM
YGL244W	NUCLEUS
YGL245W	CYTOPLASM
YGL246C	NUCLEUS
YGL247W	NUCLEAR ...
YGL249W	CYTOPLASM
YGL250W	CYTOPLASM
YGL252C	CYTOPLASM
YGL253W	CYTOPLASM
YGL255W	ER
YGL256W	MITOCHON...
YGR001C	CYTOPLASM
YGR002C	NUCLEUS
YGR003W	CYTOPLASM
YGR004W	CYTOPLASM
YGR007W	CYTOPLASM
YGR008C	CYTOPLASM
YGR012W	MITOCHON...
YGR013W	NUCLEUS
YGR015C	MITOCHON...
YGR017W	NUCLEUS
YGR019W	CYTOPLASM
YGR020C	VACUOLAR...
YGR021W	MITOCHON...
YGR026W	CELL PER...
YGR028W	MITOCHON...
YGR030C	NUCLEUS
YGR031W	MITOCHON...
YGR034W	CYTOPLASM
YGR037C	CYTOPLASM
YGR038W	ER
YGR041W	BUD NECK
YGR042W	CYTOPLASM
YGR043C	NUCLEUS
YGR044C	CYTOPLASM
YGR046W	MITOCHON...
YGR047C	NUCLEUS
YGR048W	NUCLEUS
YGR049W	MITOCHON...
YGR052W	CYTOPLASM
YGR055W	VACUOLE
YGR058W	NUCLEUS
YGR060W	ER
YGR061C	CYTOPLASM
YGR062C	MITOCHON...
YGR063C	NUCLEUS
YGR065C	BUD TIP
YGR068C	CYTOPLASM
YGR071C	NUCLEUS
YGR072W	CYTOPLASM
YGR075C	NUCLEUS
YGR076C	MITOCHON...
YGR078C	CYTOPLASM
YGR080W	PUNCTATE...
YGR081C	NUCLEUS
YGR082W	MITOCHON...
YGR083C	CYTOPLASM
YGR084C	MITOCHON...
YGR085C	CYTOPLASM
YGR086C	plasma m...
YGR088W	CYTOPLASM
YGR089W	CYTOPLASM
YGR090W	NUCLEUS
YGR092W	Not visu...
YGR093W	NUCLEUS
YGR094W	CYTOPLASM
YGR095C	NUCLEUS
YGR097W	CYTOPLASM
YGR100W	CYTOPLASM
YGR102C	MITOCHON...
YGR103W	NUCLEUS
YGR104C	NUCLEUS
YGR105W	VACUOLAR...
YGR106C	VACUOLAR...
YGR108W	NUCLEUS
YGR111W	CYTOPLASM
YGR112W	MITOCHON...
YGR116W	NUCLEUS
YGR117C	CYTOPLASM
YGR118W	NUCLEUS
YGR119C	NUCLEAR ...
YGR120C	PUNCTATE...
YGR122W	CYTOPLASM
YGR123C	CYTOPLASM
YGR124W	CYTOPLASM
YGR128C	NUCLEOLUS
YGR129W	NUCLEUS
YGR130C	PUNCTATE...
YGR132C	MITOCHON...
YGR133W	PUNCTATE...
YGR134W	CYTOPLASM
YGR135W	NUCLEUS
YGR138C	CELL PER...
YGR140W	MICROTUBULE
YGR142W	CYTOPLASM
YGR147C	MITOCHON...
YGR148C	CYTOPLASM
YGR149W	MITOCHON...
YGR150C	MITOCHON...
YGR151C	CYTOPLASM
YGR155W	CYTOPLASM
YGR156W	NUCLEUS
YGR157W	ER
YGR158C	NUCLEUS
YGR159C	NUCLEUS
YGR161C	CYTOPLASM
YGR162W	CYTOPLASM
YGR163W	VACUOLAR...
YGR165W	MITOCHON...
YGR167W	PUNCTATE...
YGR171C	MITOCHON...
YGR173W	CYTOPLASM
YGR174C	MITOCHON...
YGR175C	LIPID PA...
YGR177C	ER
YGR178C	CYTOPLASM
YGR179C	SPINDLE ...
YGR180C	NUCLEUS
YGR185C	CYTOPLASM
YGR186W	NUCLEUS
YGR187C	CYTOPLASM
YGR188C	CYTOPLASM
YGR189C	CYTOPLASM
YGR191W	ER
YGR192C	NUCLEUS
YGR193C	MITOCHON...
YGR194C	CYTOPLASM
YGR195W	NUCLEUS
YGR198W	MITOCHON...
YGR200C	CYTOPLASM
YGR203W	CYTOPLASM
YGR204W	CYTOPLASM
YGR205W	CYTOPLASM
YGR206W	PUNCTATE...
YGR207C	MITOCHON...
YGR209C	CYTOPLASM
YGR211W	CYTOPLASM
YGR214W	CYTOPLASM
YGR215W	MITOCHON...
YGR217W	CYTOPLASM
YGR218W	NUCLEUS
YGR219W	NUCLEUS
YGR220C	MITOCHON...
YGR222W	MITOCHON...
YGR229C	PUNCTATE...
YGR231C	MITOCHON...
YGR233C	NUCLEUS
YGR234W	CYTOPLASM
YGR237C	NUCLEUS
YGR238C	MITOCHON...
YGR240C	CYTOPLASM
YGR241C	CYTOPLASM
YGR243W	MITOCHON...
YGR244C	MITOCHON...
YGR248W	CYTOPLASM
YGR250C	CYTOPLASM
YGR251W	NUCLEOLUS
YGR252W	NUCLEUS
YGR253C	NUCLEUS
YGR254W	CYTOPLASM
YGR255C	MITOCHON...
YGR256W	CYTOPLASM
YGR257C	MITOCHON...
YGR258C	NUCLEUS
YGR260W	ER
YGR261C	PUNCTATE...
YGR262C	NUCLEUS
YGR263C	LIPID PA...
YGR264C	CYTOPLASM
YGR266W	PUNCTATE...
YGR267C	CYTOPLASM
YGR268C	CYTOPLASM
YGR269W	CYTOPLASM
YGR270W	NUCLEUS
YHL007C	CYTOPLASM
YHL009C	CYTOPLASM
YHL010C	NUCLEAR ...
YHL013C	CYTOPLASM
YHL014C	MITOCHON...
YHL017W	PUNCTATE...
YHL019C	PUNCTATE...
YHL020C	Not visu...
YHL021C	MITOCHON...
YHL025W	NUCLEUS
YHL027W	NUCLEUS
YHL029C	CYTOPLASM
YHL030W	CYTOPLASM
YHL033C	CYTOPLASM
YHL034C	CYTOPLASM
YHL038C	MITOCHON...
YHL039W	CYTOPLASM
YHL040C	ER
YHR001W_A	MITOCHON...
YHR003C	MITOCHON...
YHR005C	CELL PER...
YHR006W	CYTOPLASM
YHR007C	ER
YHR009C	CYTOPLASM
YHR010W	PUNCTATE...
YHR011W	MITOCHON...
YHR015W	CYTOPLASM
YHR018C	CYTOPLASM
YHR021C	CYTOPLASM
YHR023W	CYTOPLASM
YHR024C	MITOCHON...
YHR026W	ER
YHR027C	NUCLEUS
YHR030C	CYTOPLASM
YHR031C	NUCLEUS
YHR036W	ER
YHR037W	MITOCHON...
YHR039C	ER
YHR040W	NUCLEUS
YHR041C	CYTOPLASM
YHR042W	ER
YHR043C	NUCLEUS
YHR046C	CYTOPLASM
YHR047C	CYTOPLASM
YHR051W	MITOCHON...
YHR052W	NUCLEUS
YHR053C	CYTOPLASM
YHR055C	CYTOPLASM
YHR057C	ER
YHR058C	NUCLEUS
YHR059W	MITOCHON...
YHR060W	ER
YHR061C	BUD NECK
YHR062C	NUCLEUS
YHR063C	MITOCHON...
YHR064C	CYTOPLASM
YHR066W	NUCLEOLUS
YHR067W	MITOCHON...
YHR068W	CYTOPLASM
YHR069C	NUCLEUS
YHR070W	CYTOPLASM
YHR072W	LIPID PA...
YHR072W_A	NUCLEOLUS
YHR073W	CYTOPLASM
YHR074W	CYTOPLASM
YHR077C	CYTOPLASM
YHR079C	ER
YHR082C	CYTOPLASM
YHR083W	MITOCHON...
YHR084W	NUCLEUS
YHR085W	NUCLEUS
YHR086W	NUCLEUS
YHR087W	CYTOPLASM
YHR089C	NUCLEOLUS
YHR090C	NUCLEUS
YHR097C	CYTOPLASM
YHR098C	PUNCTATE...
YHR101C	ER
YHR102W	CYTOPLASM
YHR103W	CYTOPLASM
YHR104W	CYTOPLASM
YHR105W	PUNCTATE...
YHR106W	MITOCHON...
YHR107C	MICROTUBULE
YHR108W	PUNCTATE...
YHR110W	ER
YHR111W	CYTOPLASM
YHR112C	CYTOPLASM
YHR113W	CYTOPLASM
YHR114W	CYTOPLASM
YHR116W	CYTOPLASM
YHR117W	MITOCHON...
YHR118C	NUCLEUS
YHR119W	CYTOPLASM
YHR120W	MITOCHON...
YHR121W	NUCLEUS
YHR127W	NUCLEUS
YHR131C	CYTOPLASM
YHR132C	CYTOPLASM
YHR132W_A	CYTOPLASM
YHR133C	NUCLEAR ...
YHR135C	CYTOPLASM
YHR136C	PUNCTATE...
YHR137W	CYTOPLASM
YHR141C	CYTOPLASM
YHR143W_A	CYTOPLASM
YHR147C	CELL PER...
YHR154W	CYTOPLASM
YHR155W	CYTOPLASM
YHR156C	NUCLEUS
YHR158C	CELL PER...
YHR159W	CYTOPLASM
YHR161C	CELL PER...
YHR162W	MITOCHON...
YHR163W	CYTOPLASM
YHR164C	CYTOPLASM
YHR165C	NUCLEUS
YHR166C	CYTOPLASM
YHR167W	NUCLEUS
YHR169W	NUCLEOLUS
YHR170W	CYTOPLASM
YHR172W	SPINDLE ...
YHR174W	CYTOPLASM
YHR175W	ER
YHR178W	NUCLEUS
YHR179W	CYTOPLASM
YHR181W	ER
YHR182W	CYTOPLASM
YHR183W	CYTOPLASM
YHR186C	VACUOLAR...
YHR187W	CYTOPLASM
YHR189W	MITOCHON...
YHR190W	ER
YHR192W	CYTOPLASM
YHR193C	CYTOPLASM
YHR195W	NUCLEAR ...
YHR196W	NUCLEOLUS
YHR197W	NUCLEUS
YHR199C	MITOCHON...
YHR200W	NUCLEUS
YHR201C	NUCLEUS
YHR202W	CYTOPLASM
YHR203C	CYTOPLASM
YHR204W	CYTOPLASM
YHR205W	CYTOPLASM
YHR206W	NUCLEUS
YHR207C	CYTOPLASM
YHR215W	NOT VISU...
YHR216W	CYTOPLASM
YIL001W	CYTOPLASM
YIL002C	CYTOPLASM
YIL004C	PUNCTATE...
YIL007C	CYTOPLASM
YIL008W	CYTOPLASM
YIL009W	CELL PER...
YIL010W	NUCLEUS
YIL015W	CYTOPLASM
YIL016W	ER
YIL017C	CYTOPLASM
YIL019W	CYTOPLASM
YIL020C	CYTOPLASM
YIL022W	MITOCHON...
YIL026C	NUCLEUS
YIL027C	ER
YIL031W	CYTOPLASM
YIL034C	PUNCTATE...
YIL035C	NUCLEUS
YIL036W	NUCLEUS
YIL038C	CYTOPLASM
YIL039W	CYTOPLASM
YIL040W	ER
YIL041W	PUNCTATE...
YIL042C	MITOCHON...
YIL043C	ER
YIL044C	PUNCTATE...
YIL045W	PUNCTATE...
YIL046W	CYTOPLASM
YIL047C	VACUOLAR...
YIL048W	PUNCTATE...
YIL050W	CYTOPLASM
YIL051C	MITOCHON...
YIL052C	CYTOPLASM
YIL053W	CYTOPLASM
YIL055C	CYTOPLASM
YIL056W	CYTOPLASM
YIL057C	CYTOPLASM
YIL061C	CYTOPLASM
YIL062C	PUNCTATE...
YIL064W	CYTOPLASM
YIL065C	CYTOPLASM
YIL066C	CYTOPLASM
YIL068C	BUD NECK
YIL069C	CYTOPLASM
YIL070C	MITOCHON...
YIL071C	CYTOPLASM
YIL074C	CYTOPLASM
YIL075C	NUCLEUS
YIL076W	PUNCTATE...
YIL077C	MITOCHON...
YIL078W	CYTOPLASM
YIL079C	NUCLEUS
YIL083C	CYTOPLASM
YIL084C	NUCLEUS
YIL087C	MITOCHON...
YIL088C	ER
YIL091C	NUCLEUS
YIL092W	CYTOPLASM
YIL093C	MITOCHON...
YIL094C	MITOCHON...
YIL095W	PUNCTATE...
YIL096C	NUCLEOLUS
YIL097W	CYTOPLASM
YIL098C	MITOCHON...
YIL101C	NUCLEUS
YIL103W	CYTOPLASM
YIL104C	NUCLEUS
YIL105C	CELLULAR...
YIL106W	CYTOPLASM
YIL107C	CYTOPLASM
YIL108W	CYTOPLASM
YIL110W	CYTOPLASM
YIL111W	MITOCHON...
YIL112W	NUCLEUS
YIL113W	MITOCHON...
YIL115C	NUCLEAR ...
YIL116W	CYTOPLASM
YIL119C	CYTOPLASM
YIL121W	CELL PER...
YIL122W	NUCLEUS
YIL123W	MITOCHON...
YIL124W	ER
YIL125W	MITOCHON...
YIL126W	NUCLEUS
YIL127C	NUCLEOLUS
YIL128W	CYTOPLASM
YIL129C	Not Visu...
YIL131C	NUCLEUS
YIL132C	CYTOPLASM
YIL133C	CYTOPLASM
YIL135C	CYTOPLASM
YIL137C	CYTOPLASM
YIL138C	CYTOPLASM
YIL140W	BUD NECK
YIL143C	CYTOPLASM
YIL144W	CYTOPLASM
YIL145C	NUCLEUS
YIL147C	CELL PER...
YIL148W	NUCLEUS
YIL149C	NUCLEAR ...
YIL150C	NUCLEUS
YIL151C	Not Visu...
YIL153W	CYTOPLASM
YIL154C	CYTOPLASM
YIL155C	MITOCHON...
YIL156W	CYTOPLASM
YIL157C	MITOCHON...
YIL159W	CYTOPLASM
YIL172C	CYTOPLASM
YIR001C	CYTOPLASM
YIR002C	CYTOPLASM
YIR003W	BUD NECK
YIR004W	ER
YIR005W	NUCLEUS
YIR006C	PUNCTATE...
YIR007W	CYTOPLASM
YIR009W	NUCLEUS
YIR010W	SPINDLE ...
YIR011C	NUCLEUS
YIR012W	CYTOPLASM
YIR014W	VACUOLAR...
YIR015W	NUCLEUS
YIR017C	CYTOPLASM
YIR018W	CYTOPLASM
YIR021W	MITOCHON...
YIR022W	ER
YIR023W	NUCLEUS
YIR024C	MITOCHON...
YIR034C	CYTOPLASM
YIR035C	CYTOPLASM
YIR036C	CYTOPLASM
YIR037W	CYTOPLASM
YJL001W	NUCLEUS
YJL002C	ER
YJL004C	PUNCTATE...
YJL005W	Not visu...
YJL006C	NUCLEUS
YJL010C	NUCLEOLUS
YJL011C	NUCLEUS
YJL012C_A	ER
YJL013C	NUCLEUS
YJL016W	CYTOPLASM
YJL017W	CYTOPLASM
YJL018W	SPINDLE ...
YJL021C	PUNCTATE...
YJL024C	PUNCTATE...
YJL025W	NUCLEUS
YJL029C	PUNCTATE...
YJL030W	CYTOPLASM
YJL033W	NUCLEUS
YJL034W	CYTOPLASM
YJL035C	CYTOPLASM
YJL036W	CYTOPLASM
YJL039C	NUCLEAR ...
YJL041W	NUCLEAR ...
YJL042W	CYTOPLASM
YJL043W	MITOCHON...
YJL044C	CYTOPLASM
YJL047C	CYTOPLASM
YJL048C	NUCLEAR ...
YJL050W	NUCLEOLUS
YJL052W	CYTOPLASM
YJL053W	PUNCTATE...
YJL054W	MITOCHON...
YJL055W	CYTOPLASM
YJL056C	NUCLEUS
YJL057C	CYTOPLASM
YJL058C	CYTOPLASM
YJL060W	CYTOPLASM
YJL061W	NUCLEAR ...
YJL062W	ER
YJL062W_A	MITOCHON...
YJL065C	NUCLEUS
YJL066C	MITOCHON...
YJL068C	CYTOPLASM
YJL069C	NUCLEOLUS
YJL070C	CYTOPLASM
YJL071W	MITOCHON...
YJL074C	NUCLEUS
YJL076W	NUCLEOLUS
YJL078C	ER
YJL079C	VACUOLE
YJL080C	CYTOPLASM
YJL081C	NUCLEUS
YJL082W	CYTOPLASM
YJL084C	CYTOPLASM
YJL085W	BUD NECK
YJL087C	CYTOPLASM
YJL088W	CYTOPLASM
YJL090C	NUCLEOLUS
YJL091C	ER
YJL092W	CYTOPLASM
YJL095W	CYTOPLASM
YJL097W	ER
YJL098W	CYTOPLASM
